Programação,DUV,Berço,Embarcação,IMO,LOA,Cal. Cheg.,Cal. Saída,DWT,Bordo,Sentido,Agência,Operador,Mercadoria,Chegada,ETB,Janela Operacional,Prancha (t/dia),Previsto,Unnamed: 20_level_1,Unnamed: 21_level_1
75381,33052025,216,MSC GAYANE,9770763,31435,980,1000,"119.307,20",-,Imp/Exp,MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA,TCP (EXT),CONTÊINERES (CONTENTORES) INCL,,,,,700 Movs.,,
75248,2992025,218,EVER LOVELY,9629110,33480,1090,1100,"104.357,00",-,Imp/Exp,GRIEG,TCP (ESA),CONTÊINERES (CONTENTORES) INCL,,,,,750 Movs.,,
75346,23522025,215,HONG PROSPERITY,9256418,17220,900,850,"20.367,00",-,Imp/Exp,UNIMAR,TCP (EXT),CONTÊINERES (CONTENTORES) INCL,,,,,300 Movs.,,
75286,590112024,216,MONTE ROSA,9283215,27200,1000,900,"83.556,70",-,Imp/Exp,LACHMANN,TCP (UCL),CONTÊINERES (CONTENTORES) INCL,,,,,800 Movs.,,
75324,23712025,213,STABILITY,9783966,22900,710,1310,"81.679,00",-,Exp,CARGONAVE,CARGONAVE,MILHO,20/01/2025 00:01,21/01/2025 19:00,,,"69.735,000 Tons.",,
75214,588482024,204,MARCOS DIAS,9070565,19900,970,750,"44.523,00",-,Imp,ROCHAMAR,ROCHA TERMINAIS PORTUARIOS E LOGISTICA S.A.,SAL MARINHO,19/01/2025 19:40,,,,"14.200,000 Tons.",,
75276,11482025,212,REA,9497165,17990,615,980,"32.755,00",-,Exp,CARGILL AGRICOLA,TIBAGI,FARELO DE SOJA,11/01/2025 18:00,,,,"28.446,000 Tons.",,
75146,582642024,202,FORZA ROMA,9217618,17160,600,1015,"32.267,00",-,Exp,MARCON,MARCON,OUTS.ACUCARES,03/01/2025 01:20,,,,"27.585,000 Tons.",,
75058 - REP,559992024,201,WISTERIA,9919565,19998,1187,976,"63.659,00",BB,Imp,AMART,FORTESOLO,DAP - Fosfato Diamonico,20/12/2024 09:00,15/01/2025 10:00,51:11,"7.500,000","16.000,000 Tons.",,
75058 - REP,559992024,201,WISTERIA,9919565,19998,1187,976,"63.659,00",BB,Imp,AMART,FORTESOLO,MAP,20/12/2024 09:00,15/01/2025 10:00,51:11,"7.500,000","16.000,000 Tons.",,
74980,552062024,211,MYKONOS DAWN,9762481,18100,1065,600,"37.880,00",-,Imp,ALPHAMAR,ROCHA TERMINAIS PORTUARIOS E LOGISTICA S.A.,ADUBOS OU FERTILIZANTES C/NITR,19/12/2024 19:00,,,,"35.200,000 Tons.",,
74980,552062024,211,MYKONOS DAWN,9762481,18100,1065,600,"37.880,00",-,Imp,ALPHAMAR,ROCHA TERMINAIS PORTUARIOS E LOGISTICA S.A.,UREIA,19/12/2024 19:00,,,,"35.200,000 Tons.",,
74738,485882024,200,PELAGIA,9402940,22500,1190,750,"78.844,00",-,Imp,ROCHAMAR,FOSPAR,FERTILIZ.MINER.QUIM.C/NITROGEN,30/11/2024 03:18,05/01/2025 12:00,,,"57.900,000 Tons.",,
74738,485882024,200,PELAGIA,9402940,22500,1190,750,"78.844,00",-,Imp,ROCHAMAR,FOSPAR,SULFATO DE AMONIO,30/11/2024 03:18,05/01/2025 12:00,,,"57.900,000 Tons.",,
